,标识符,机型,始发地,出发,到达
53,AMU195,A320,Nanning Wuxu Int'l (NNG / ZGNN),Mon 11:14AM CST,Mon 12:14PM CST
54,EVA801,A321,Taiwan Taoyuan Int'l (TPE / RCTP),Mon 10:02AM CST,Mon 11:24AM CST
55,AMU51,A320,Jieyang Chaoshan International Airport (SWA / ZGOW),Mon 10:11AM CST,Mon 11:01AM CST
56,CXA893,B738,Fuzhou Changle Int'l (FOC / ZSFZ),Mon 09:34AM CST,Mon 10:47AM CST
57,AMU9,A321,Beijing Capital Int'l (PEK / ZBAA),Sun 08:20PM CST,Sun 11:30PM CST
58,AMU131,A320,Xiamen Gaoqi Int'l (XMN / ZSAM),Sun 09:26PM CST,Sun 10:24PM CST
59,QTR8911,B772,Hamad Int'l (DOH / OTHH),Sun 09:27AM +03,Sun 09:01PM CST
60,AMU127,A321,Nanjing Lukou Int'l (NKG / ZSNJ),Sun 06:14PM CST,Sun 08:28PM CST
61,SJX205,A21N,Taiwan Taoyuan Int'l (TPE / RCTP),Sun 06:52PM CST,Sun 08:24PM CST
62,AMU1,A321,Beijing Capital Int'l (PEK / ZBAA),Sun 04:40PM CST,Sun 08:04PM CST
63,AMU237,A320,Tianjin Binhai Int'l (TSN / ZBTJ),Sun 04:44PM CST,Sun 08:00PM CST
64,AMU135,A321,Shanghai Pudong Int'l (PVG / ZSPD),Sun 05:20PM CST,Sun 07:42PM CST
